id_exploitation,region,culture_principale,type_sol,type_stockage,superficie_ha,distance_marche_km,pluviometrie_mm,age_exploitant,irrigation,formation_recue,delai_avant_vente_j,reclamation_appui_urgence,perte_elevee
EXP00057,Plateaux,riz,argileux,case traditionnelle,2.76,26.6,1043.0,43,0,0,32.0,0,1
EXP00058,Centrale,maïs,argileux,magasin communautaire,1.36,3.6,832.0,65,0,0,8.0,0,0
EXP00059,Maritime,maïs,argileux,silo métallique,3.46,14.3,1000.0,26,0,0,9.0,0,0
EXP00060,Maritime,manioc,argileux,aucun,0.32,4.3,1053.0,32,0,0,6.0,0,0
EXP00061,Centrale,sorgho,,magasin communautaire,3.62,21.1,1377.0,56,0,1,26.0,0,0
EXP00062,Plateaux,riz,sableux,case traditionnelle,2.28,24.9,1054.0,66,1,0,9.0,0,0
EXP00063,Centrale,maïs,ferrugineux,case traditionnelle,3.98,6.0,802.0,68,0,0,36.0,1,0
EXP00064,Kara,manioc,hydromorphe,case traditionnelle,3.66,5.1,1112.0,25,0,0,27.0,0,0
EXP00065,Centrale,maïs,ferrugineux,case traditionnelle,2.99,8.0,750.0,31,0,0,22.0,0,0
EXP00066,Centrale,riz,sableux,aucun,4.47,11.4,1169.0,70,0,1,56.0,0,0
EXP00067,Centrale,sorgho,,magasin communautaire,9.4,7.2,966.0,45,0,1,8.0,1,0
EXP00068,Plateaux,manioc,sableux,case traditionnelle,6.9,22.4,1046.0,62,0,1,27.0,0,0
EXP00069,Maritime,manioc,ferrugineux,case traditionnelle,2.38,26.7,523.0,19,0,0,19.0,0,0
EXP00070,Plateaux,maïs,hydromorphe,case traditionnelle,2.36,13.9,410.0,25,0,0,15.0,0,0
EXP00071,Maritime,manioc,,aucun,6.44,7.4,590.0,29,0,1,30.0,0,0
EXP00072,Plateaux,sorgho,argileux,case traditionnelle,2.48,11.1,,23,0,0,13.0,0,0
EXP00073,Kara,riz,argileux,case traditionnelle,1.63,13.9,674.0,65,0,0,,0,0
EXP00074,Maritime,manioc,ferrugineux,case traditionnelle,4.69,10.7,1126.0,60,0,0,31.0,1,1
EXP00075,Maritime,manioc,hydromorphe,silo métallique,3.09,12.1,796.0,39,1,0,10.0,0,0
EXP00076,Plateaux,maïs,ferrugineux,magasin communautaire,0.79,25.3,892.0,23,0,1,10.0,0,0
EXP00077,Plateaux,maïs,argileux,magasin communautaire,1.98,7.0,939.0,24,1,1,45.0,0,0
EXP00078,Centrale,maïs,ferrugineux,case traditionnelle,0.91,42.5,1345.0,32,0,0,9.0,0,0
EXP00079,Centrale,manioc,argileux,case traditionnelle,0.33,14.2,1090.0,56,0,0,9.0,1,1
EXP00080,Kara,igname,ferrugineux,aucun,7.53,10.3,1042.0,60,0,1,14.0,0,0
EXP00081,Centrale,manioc,ferrugineux,case traditionnelle,2.7,6.9,1261.0,47,0,0,16.0,0,0
EXP00082,Plateaux,maïs,argileux,case traditionnelle,2.03,7.4,798.0,66,0,1,4.0,0,0
EXP00083,Kara,maïs,hydromorphe,magasin communautaire,1.72,13.0,1206.0,67,0,0,2.0,0,0
EXP00084,Maritime,maïs,hydromorphe,case traditionnelle,2.51,14.1,1166.0,58,0,1,21.0,0,0
EXP00085,Maritime,sorgho,sableux,case traditionnelle,1.71,10.0,1164.0,23,0,0,,0,0
EXP00086,Maritime,manioc,hydromorphe,silo métallique,1.18,4.3,913.0,65,0,0,7.0,0,0
EXP00087,Kara,sorgho,sableux,magasin communautaire,1.78,13.0,845.0,66,0,1,49.0,0,0
EXP00088,Plateaux,sorgho,hydromorphe,case traditionnelle,6.03,,741.0,48,0,1,6.0,0,0
EXP00089,Maritime,maïs,hydromorphe,case traditionnelle,4.62,2.7,756.0,50,0,1,27.0,0,0
EXP00090,Plateaux,riz,hydromorphe,silo métallique,1.78,19.5,730.0,59,1,0,23.0,0,0
EXP00091,Maritime,igname,ferrugineux,case traditionnelle,8.02,3.1,1038.0,49,1,0,23.0,1,1
EXP00092,Centrale,manioc,hydromorphe,case traditionnelle,2.36,9.7,895.0,36,0,0,7.0,0,0
EXP00093,Plateaux,maïs,sableux,magasin communautaire,1.38,11.9,1054.0,55,0,0,30.0,0,0
EXP00094,Plateaux,igname,ferrugineux,magasin communautaire,3.19,29.0,1067.0,59,0,0,29.0,0,0
EXP00095,Plateaux,igname,ferrugineux,aucun,6.66,2.9,696.0,26,0,0,27.0,1,1
EXP00096,Centrale,manioc,sableux,case traditionnelle,5.85,20.9,688.0,54,0,1,15.0,0,0
EXP00097,Plateaux,manioc,hydromorphe,case traditionnelle,1.43,23.1,895.0,28,0,1,0.0,0,0
EXP00098,Maritime,maïs,ferrugineux,magasin communautaire,1.0,34.7,764.0,48,0,0,30.0,0,0
EXP00099,Maritime,sorgho,sableux,magasin communautaire,1.9,26.1,739.0,24,0,0,7.0,0,0
EXP00100,Savanes,manioc,argileux,case traditionnelle,3.56,12.2,1357.0,70,1,0,30.0,0,0
EXP00101,Savanes,maïs,ferrugineux,magasin communautaire,4.22,21.6,582.0,53,0,0,31.0,0,0
EXP00102,Centrale,riz,,case traditionnelle,5.32,29.9,1436.0,43,0,0,3.0,0,0
EXP00103,Maritime,igname,hydromorphe,aucun,2.81,2.2,1019.0,45,0,1,,1,0
EXP00104,Savanes,sorgho,sableux,aucun,2.87,4.3,1187.0,51,0,0,20.0,0,0
EXP00105,Kara,maïs,ferrugineux,magasin communautaire,2.74,15.1,1158.0,25,1,0,,0,0
EXP00106,Kara,maïs,argileux,aucun,4.87,23.0,1098.0,45,0,1,26.0,0,0
EXP00107,Plateaux,igname,hydromorphe,aucun,4.27,19.1,1349.0,56,1,0,30.0,1,1
EXP00108,Maritime,igname,ferrugineux,case traditionnelle,1.4,16.1,690.0,32,0,0,17.0,1,0
EXP00109,Maritime,manioc,argileux,case traditionnelle,3.93,,912.0,43,0,0,24.0,1,0
EXP00110,Savanes,riz,ferrugineux,magasin communautaire,4.67,10.0,745.0,36,0,0,9.0,0,0
EXP00111,Plateaux,manioc,ferrugineux,case traditionnelle,4.91,7.3,543.0,27,0,0,43.0,1,1
EXP00112,Maritime,manioc,argileux,case traditionnelle,3.09,8.6,791.0,69,1,1,25.0,0,0
EXP00113,Plateaux,maïs,,case traditionnelle,2.98,15.4,,49,0,0,,0,0
EXP00114,Centrale,maïs,hydromorphe,aucun,2.44,11.8,908.0,39,0,1,29.0,0,0
EXP00115,Maritime,maïs,sableux,case traditionnelle,2.62,23.8,1426.0,36,0,1,10.0,0,0
EXP00116,Kara,sorgho,sableux,silo métallique,7.24,7.6,1451.0,54,0,1,24.0,0,0
EXP00117,Kara,maïs,sableux,case traditionnelle,2.68,,,24,1,1,8.0,0,0
EXP00118,Kara,maïs,ferrugineux,case traditionnelle,1.48,21.6,1407.0,48,0,1,17.0,0,0
EXP00119,Plateaux,manioc,sableux,aucun,3.14,,1516.0,30,0,1,10.0,0,0
EXP00120,Centrale,maïs,hydromorphe,case traditionnelle,4.17,,1028.0,65,0,0,27.0,0,0
EXP00121,Centrale,maïs,argileux,case traditionnelle,4.78,8.5,1005.0,59,0,0,16.0,0,0
EXP00122,Centrale,manioc,sableux,case traditionnelle,1.17,11.2,1021.0,58,1,1,37.0,0,0
EXP00123,Maritime,manioc,ferrugineux,silo métallique,6.3,3.8,950.0,26,0,1,14.0,0,0
EXP00124,Plateaux,riz,argileux,case traditionnelle,4.06,16.0,986.0,23,1,1,23.0,0,0
EXP00125,Maritime,igname,hydromorphe,case traditionnelle,6.07,15.8,1131.0,42,0,0,,1,1
EXP00126,Plateaux,maïs,hydromorphe,case traditionnelle,0.86,14.9,838.0,37,0,1,12.0,0,0
EXP00127,Plateaux,igname,argileux,case traditionnelle,5.04,10.7,,56,0,1,12.0,0,0
EXP00128,Maritime,igname,argileux,case traditionnelle,1.12,27.8,1037.0,56,0,0,6.0,0,0
EXP00129,Maritime,sorgho,argileux,magasin communautaire,2.07,8.7,784.0,39,0,0,,0,0
EXP00130,Centrale,riz,sableux,case traditionnelle,4.15,26.2,809.0,27,0,0,21.0,1,1
EXP00131,Maritime,riz,argileux,case traditionnelle,1.04,8.5,916.0,35,0,0,1.0,0,0
EXP00132,Savanes,riz,ferrugineux,magasin communautaire,1.7,4.8,861.0,45,0,0,9.0,0,0
EXP00133,Centrale,riz,sableux,silo métallique,0.85,12.2,1216.0,32,0,0,30.0,0,0
EXP00134,Plateaux,maïs,hydromorphe,case traditionnelle,4.08,13.9,910.0,35,1,0,19.0,0,0
EXP00135,Centrale,igname,hydromorphe,case traditionnelle,1.38,16.9,1229.0,31,1,1,25.0,0,0
EXP00136,Maritime,manioc,ferrugineux,case traditionnelle,2.56,1.5,999.0,22,0,0,2.0,0,0
EXP00137,Savanes,sorgho,ferrugineux,aucun,3.34,9.9,929.0,50,0,0,32.0,1,1
EXP00138,Plateaux,manioc,hydromorphe,case traditionnelle,3.11,40.6,988.0,70,0,0,57.0,0,0
EXP00139,Kara,maïs,argileux,case traditionnelle,2.92,8.0,,68,0,1,22.0,0,0
EXP00140,Maritime,manioc,sableux,magasin communautaire,2.92,23.2,1031.0,67,0,0,7.0,0,0
EXP00141,Plateaux,manioc,hydromorphe,case traditionnelle,0.89,,1154.0,53,0,0,10.0,0,0
EXP00142,Plateaux,manioc,hydromorphe,case traditionnelle,2.15,45.3,1188.0,57,0,0,9.0,0,0
EXP00143,Savanes,maïs,sableux,case traditionnelle,2.9,5.5,625.0,22,0,0,23.0,0,0
EXP00144,Centrale,maïs,ferrugineux,magasin communautaire,2.69,21.9,585.0,29,1,0,5.0,0,0
EXP00145,Plateaux,manioc,sableux,magasin communautaire,2.33,22.8,821.0,55,0,1,,0,0
EXP00146,Maritime,manioc,sableux,magasin communautaire,1.52,19.6,1282.0,70,1,1,32.0,0,0
EXP00147,Plateaux,igname,ferrugineux,silo métallique,3.07,4.7,1003.0,66,0,0,46.0,0,0
EXP00148,Plateaux,maïs,sableux,case traditionnelle,3.46,14.8,764.0,51,0,1,3.0,0,0
EXP00149,Plateaux,maïs,sableux,aucun,1.86,14.8,601.0,24,0,0,43.0,0,0
EXP00150,Maritime,maïs,sableux,silo métallique,4.8,4.2,,69,1,0,,0,0
EXP00151,Kara,manioc,hydromorphe,silo métallique,6.39,10.3,770.0,35,0,0,5.0,0,0
EXP00152,Savanes,manioc,sableux,silo métallique,2.6,15.3,1175.0,21,0,0,14.0,0,0
EXP00153,Maritime,riz,argileux,case traditionnelle,1.42,12.0,1193.0,58,0,0,5.0,0,0
EXP00154,Centrale,igname,ferrugineux,case traditionnelle,1.03,20.6,,28,0,1,59.0,1,1
EXP00155,Maritime,maïs,sableux,magasin communautaire,2.04,10.1,1131.0,34,0,0,15.0,0,0
EXP00156,Centrale,riz,sableux,case traditionnelle,2.47,13.8,1106.0,54,0,1,32.0,0,0
EXP00157,Plateaux,maïs,hydromorphe,magasin communautaire,0.99,24.2,667.0,69,0,0,7.0,0,0
EXP00158,Centrale,maïs,hydromorphe,case traditionnelle,2.0,37.5,930.0,66,0,0,9.0,0,0
EXP00159,Kara,manioc,argileux,case traditionnelle,4.64,4.7,1032.0,27,1,0,44.0,0,0
EXP00160,Kara,maïs,hydromorphe,aucun,0.47,20.1,989.0,28,0,0,11.0,0,0
EXP00161,Maritime,riz,sableux,silo métallique,2.71,8.9,539.0,61,0,0,10.0,0,0
EXP00162,Savanes,riz,ferrugineux,magasin communautaire,1.69,17.1,981.0,35,0,0,10.0,1,1
EXP00163,Maritime,riz,argileux,case traditionnelle,2.52,4.3,1103.0,23,0,1,17.0,0,0
EXP00164,Maritime,manioc,sableux,magasin communautaire,6.61,28.2,1329.0,49,0,0,15.0,0,0
EXP00165,Centrale,riz,argileux,aucun,2.44,6.9,789.0,53,1,0,9.0,0,0
EXP00166,Plateaux,manioc,sableux,magasin communautaire,2.2,24.5,819.0,70,1,0,12.0,0,0
EXP00167,Kara,maïs,hydromorphe,magasin communautaire,3.91,4.9,900.0,44,0,0,27.0,0,0
EXP00168,Kara,maïs,hydromorphe,magasin communautaire,3.1,3.6,1020.0,60,1,0,19.0,0,0
EXP00169,Plateaux,riz,sableux,case traditionnelle,2.72,10.9,973.0,46,0,0,37.0,0,0
EXP00170,Savanes,igname,argileux,silo métallique,3.17,14.9,1095.0,67,1,1,,0,0
EXP00171,Plateaux,maïs,ferrugineux,aucun,5.48,47.9,680.0,44,0,1,27.0,1,1
EXP00172,Plateaux,manioc,argileux,magasin communautaire,4.45,14.7,1045.0,54,0,0,28.0,0,0
EXP00173,Maritime,sorgho,argileux,case traditionnelle,2.09,5.5,772.0,69,0,1,9.0,1,1
EXP00174,Savanes,sorgho,,magasin communautaire,6.39,21.9,916.0,64,0,1,20.0,0,0
EXP00175,Maritime,manioc,ferrugineux,magasin communautaire,1.76,31.3,1360.0,39,0,0,16.0,0,0
EXP00176,Maritime,riz,sableux,aucun,2.71,6.6,614.0,45,0,1,3.0,0,0
EXP00177,Plateaux,riz,argileux,silo métallique,2.93,23.9,883.0,49,0,0,4.0,0,0
EXP00178,Savanes,sorgho,hydromorphe,case traditionnelle,2.02,28.8,644.0,25,0,1,17.0,1,1
EXP00179,Savanes,maïs,sableux,case traditionnelle,5.95,22.2,987.0,31,0,1,3.0,1,1
EXP00180,Kara,igname,argileux,magasin communautaire,1.95,,1202.0,55,0,1,2.0,0,0
EXP00181,Savanes,maïs,hydromorphe,case traditionnelle,2.31,15.0,991.0,22,0,1,16.0,1,0
EXP00182,Savanes,sorgho,ferrugineux,magasin communautaire,4.87,17.1,922.0,50,0,1,1.0,0,0
EXP00183,Plateaux,maïs,argileux,silo métallique,1.81,27.7,1269.0,44,0,0,6.0,0,0
EXP00184,Plateaux,maïs,hydromorphe,silo métallique,0.96,8.1,1029.0,44,0,1,16.0,0,0
EXP00185,Kara,maïs,hydromorphe,case traditionnelle,2.77,,1147.0,62,1,0,14.0,0,0
EXP00186,Centrale,manioc,hydromorphe,silo métallique,1.19,11.7,1122.0,33,0,1,14.0,0,0
EXP00187,Plateaux,maïs,sableux,silo métallique,1.09,9.9,260.0,60,0,1,23.0,0,0
EXP00188,Maritime,maïs,hydromorphe,case traditionnelle,0.48,13.4,,59,0,0,30.0,0,0
EXP00189,Kara,manioc,sableux,magasin communautaire,0.53,1.2,691.0,70,1,0,32.0,0,0
EXP00190,Maritime,manioc,sableux,magasin communautaire,0.56,1.8,751.0,61,1,1,47.0,0,0
EXP00191,Savanes,sorgho,ferrugineux,aucun,6.93,2.4,1304.0,45,0,1,2.0,0,0
EXP00192,Maritime,igname,hydromorphe,case traditionnelle,0.55,17.6,860.0,37,0,1,8.0,0,0
EXP00193,Maritime,riz,ferrugineux,case traditionnelle,1.16,10.7,1404.0,59,0,0,6.0,0,0
EXP00194,Kara,maïs,ferrugineux,magasin communautaire,2.33,7.7,612.0,67,0,0,48.0,0,0
EXP00195,Maritime,maïs,argileux,case traditionnelle,3.79,12.6,690.0,33,0,0,16.0,1,1
EXP00196,Maritime,igname,sableux,case traditionnelle,4.05,24.6,1133.0,38,0,0,14.0,0,0
EXP00197,Centrale,maïs,sableux,silo métallique,1.42,,,44,0,1,11.0,0,0
EXP00198,Kara,manioc,argileux,case traditionnelle,2.68,5.4,1024.0,24,1,0,10.0,0,0
EXP00199,Maritime,igname,sableux,magasin communautaire,2.29,52.8,923.0,35,0,0,10.0,0,0
EXP00200,Plateaux,igname,argileux,aucun,2.57,13.0,916.0,27,0,0,11.0,0,0
EXP00201,Kara,manioc,sableux,magasin communautaire,2.81,28.9,877.0,59,0,1,10.0,0,0
EXP00202,Savanes,riz,hydromorphe,magasin communautaire,3.34,22.4,993.0,44,0,0,40.0,0,0
EXP00203,Plateaux,manioc,sableux,magasin communautaire,1.67,9.4,1104.0,50,0,0,58.0,0,0
EXP00204,Maritime,sorgho,hydromorphe,case traditionnelle,1.96,37.2,1337.0,23,1,0,56.0,0,0
EXP00205,Maritime,maïs,argileux,case traditionnelle,9.14,8.3,901.0,48,0,0,3.0,0,0
EXP00206,Maritime,maïs,ferrugineux,silo métallique,1.74,17.4,856.0,56,0,0,9.0,0,0
EXP00207,Maritime,riz,argileux,case traditionnelle,2.71,15.8,825.0,54,0,1,2.0,0,0
EXP00208,Centrale,maïs,argileux,case traditionnelle,2.3,16.9,1303.0,60,0,0,57.0,0,0
EXP00209,Maritime,riz,ferrugineux,case traditionnelle,2.64,33.2,1116.0,24,1,0,20.0,0,0
EXP00210,Plateaux,manioc,sableux,aucun,4.96,,494.0,47,1,0,27.0,0,0
EXP00211,Centrale,igname,argileux,case traditionnelle,2.21,15.1,484.0,44,0,0,14.0,0,0
EXP00212,Centrale,sorgho,sableux,silo métallique,1.05,15.7,751.0,65,1,0,14.0,0,0
EXP00213,Maritime,manioc,hydromorphe,case traditionnelle,1.64,46.6,1005.0,54,0,0,35.0,1,1
EXP00214,Kara,sorgho,argileux,magasin communautaire,2.21,27.5,942.0,68,0,0,16.0,0,0
EXP00215,Kara,maïs,sableux,case traditionnelle,2.88,3.4,1074.0,20,0,0,16.0,0,0
EXP00216,Kara,manioc,ferrugineux,case traditionnelle,1.42,8.5,908.0,42,0,1,25.0,0,0
EXP00217,Maritime,maïs,ferrugineux,magasin communautaire,1.54,,1285.0,55,0,1,23.0,0,0
EXP00218,Maritime,sorgho,sableux,silo métallique,2.95,32.8,1135.0,23,1,0,16.0,1,0
EXP00219,Savanes,sorgho,hydromorphe,case traditionnelle,3.02,34.9,969.0,52,1,0,11.0,1,1
EXP00220,Plateaux,igname,ferrugineux,magasin communautaire,4.51,12.7,1225.0,31,0,1,10.0,0,0
EXP00221,Plateaux,sorgho,argileux,magasin communautaire,1.63,8.3,,22,1,0,33.0,0,0
EXP00222,Plateaux,igname,ferrugineux,case traditionnelle,3.56,11.5,930.0,53,0,1,17.0,0,0
EXP00223,Centrale,maïs,ferrugineux,magasin communautaire,2.3,14.3,983.0,41,0,1,8.0,1,0
EXP00224,Savanes,igname,hydromorphe,case traditionnelle,1.8,10.9,1094.0,40,0,0,29.0,1,1
EXP00225,Plateaux,manioc,ferrugineux,magasin communautaire,2.36,29.4,538.0,35,0,0,15.0,0,0
EXP00226,Savanes,manioc,hydromorphe,case traditionnelle,2.59,10.1,888.0,54,0,1,3.0,0,0
EXP00227,Maritime,manioc,argileux,magasin communautaire,0.97,6.6,1046.0,51,0,0,8.0,0,0
EXP00228,Centrale,maïs,argileux,case traditionnelle,1.03,11.3,1065.0,53,0,0,15.0,1,1
EXP00229,Centrale,maïs,argileux,magasin communautaire,3.88,16.4,1235.0,59,0,0,3.0,0,0
EXP00230,Maritime,maïs,hydromorphe,magasin communautaire,1.93,29.8,1133.0,50,0,0,19.0,0,0
EXP00231,Maritime,maïs,ferrugineux,aucun,2.89,6.2,935.0,22,0,1,,0,0
EXP00232,Plateaux,manioc,argileux,magasin communautaire,3.81,16.4,1112.0,27,0,0,31.0,0,0
EXP00233,Savanes,igname,hydromorphe,silo métallique,2.37,16.8,902.0,70,0,0,18.0,1,0
EXP00234,Centrale,riz,sableux,case traditionnelle,3.6,19.0,985.0,33,0,0,9.0,0,0
EXP00235,Savanes,manioc,ferrugineux,case traditionnelle,2.6,10.1,1141.0,41,1,0,3.0,0,0
EXP00236,Kara,manioc,sableux,case traditionnelle,2.68,18.8,939.0,38,1,0,3.0,0,0
EXP00237,Plateaux,manioc,sableux,magasin communautaire,5.22,22.0,1037.0,70,0,1,13.0,0,0
EXP00238,Kara,maïs,argileux,silo métallique,2.19,10.0,,61,1,0,13.0,0,0
EXP00239,Maritime,sorgho,ferrugineux,aucun,3.91,,1121.0,44,0,0,3.0,0,0
EXP00240,Maritime,maïs,hydromorphe,magasin communautaire,0.84,11.8,1246.0,54,1,1,19.0,0,0
EXP00241,Kara,riz,argileux,magasin communautaire,2.82,7.4,,47,0,0,11.0,0,0
EXP00242,Kara,sorgho,hydromorphe,case traditionnelle,6.08,4.4,1119.0,52,0,0,6.0,1,0
EXP00243,Maritime,manioc,sableux,case traditionnelle,9.56,8.3,839.0,68,0,0,5.0,0,0
EXP00244,Plateaux,sorgho,ferrugineux,silo métallique,0.88,8.7,1073.0,53,0,0,41.0,0,0
EXP00245,Centrale,maïs,sableux,case traditionnelle,1.92,4.4,1063.0,24,0,0,2.0,0,0
EXP00246,Kara,igname,hydromorphe,case traditionnelle,1.21,18.0,1097.0,45,0,0,48.0,0,0
EXP00247,Centrale,riz,sableux,aucun,2.25,23.1,1309.0,61,0,1,7.0,0,0
EXP00248,Plateaux,sorgho,argileux,aucun,4.33,11.6,,21,1,0,51.0,0,0
EXP00249,Plateaux,riz,sableux,magasin communautaire,5.34,12.8,1313.0,37,0,0,3.0,0,0
EXP00250,Plateaux,sorgho,hydromorphe,case traditionnelle,5.45,9.2,1394.0,29,0,1,20.0,0,0
EXP00251,Centrale,igname,ferrugineux,aucun,0.82,12.3,1086.0,56,0,1,36.0,0,0
EXP00252,Kara,manioc,hydromorphe,case traditionnelle,2.55,18.9,1092.0,26,1,0,36.0,0,0
EXP00253,Plateaux,sorgho,argileux,magasin communautaire,1.61,16.5,892.0,51,0,1,20.0,0,0
EXP00254,Maritime,riz,ferrugineux,case traditionnelle,2.16,,952.0,22,0,0,18.0,0,0
EXP00255,Maritime,manioc,sableux,aucun,1.77,8.7,1118.0,67,0,0,4.0,0,0
EXP00256,Kara,igname,hydromorphe,aucun,0.85,21.8,1102.0,35,0,0,29.0,0,0
EXP00257,Kara,manioc,hydromorphe,magasin communautaire,5.37,9.4,1123.0,40,0,0,33.0,0,0
EXP00258,Maritime,manioc,sableux,case traditionnelle,1.44,4.7,1100.0,59,0,0,16.0,1,1
